dataset,first,meta,weights_dist,weights_time,weights_co2,traffic,time_limit_s,vehicles_cap,vehicles_used,total_distance_true,total_cost_weighted,on_time_pct
C108,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,0.7,0.3,0.0,1.0,30,25,10,829,3529,100.0
C108,SAVINGS,GUIDED_LOCAL_SEARCH,0.7,0.3,0.0,1.0,30,25,10,829,3529,100.0
C108,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,0.55,0.45,0.0,1.0,30,25,10,831,4892,100.0
C108,SAVINGS,GUIDED_LOCAL_SEARCH,0.55,0.45,0.0,1.0,30,25,10,829,4892,100.0
C105,SAVINGS,GUIDED_LOCAL_SEARCH,0.55,0.45,0.0,1.0,30,25,10,829,4892,100.0
C203,SAVINGS,GUIDED_LOCAL_SEARCH,0.55,0.45,0.0,1.0,30,25,10,955,5010,100.0
C203,PATH_CHEAPEST_ARC,GUIDED_LOCAL_SEARCH,0.7,0.3,0.0,1.0,30,25,10,955,3655,100.0
